winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,19,MARQUISE,25,31
MARQUISE,16,MARQUISE,32,21
EYRIE,13,MARQUISE,20,30
MARQUISE,18,MARQUISE,33,19
EYRIE,11,MARQUISE,20,32
EYRIE,11,MARQUISE,23,31
EYRIE,13,MARQUISE,23,33
EYRIE,15,MARQUISE,26,33
EYRIE,17,EYRIE,27,31
EYRIE,14,MARQUISE,24,30
MARQUISE,14,MARQUISE,31,21
MARQUISE,14,MARQUISE,30,16
MARQUISE,18,MARQUISE,30,21
MARQUISE,13,EYRIE,30,24
MARQUISE,20,MARQUISE,32,29
MARQUISE,16,MARQUISE,30,26
EYRIE,15,MARQUISE,22,31
MARQUISE,14,MARQUISE,30,21
MARQUISE,20,MARQUISE,32,27
MARQUISE,14,MARQUISE,31,23
MARQUISE,18,MARQUISE,31,21
EYRIE,18,EYRIE,29,30
EYRIE,15,MARQUISE,22,31
EYRIE,11,MARQUISE,17,30
MARQUISE,20,MARQUISE,32,9
MARQUISE,18,EYRIE,32,22
EYRIE,13,EYRIE,22,30
MARQUISE,17,MARQUISE,30,29
EYRIE,12,MARQUISE,19,30
MARQUISE,13,EYRIE,30,16
MARQUISE,14,MARQUISE,31,24
EYRIE,15,MARQUISE,27,33
EYRIE,15,MARQUISE,27,33
MARQUISE,16,MARQUISE,31,21
MARQUISE,17,EYRIE,31,17
EYRIE,11,MARQUISE,19,32
EYRIE,11,MARQUISE,23,31
EYRIE,16,MARQUISE,28,30
MARQUISE,20,MARQUISE,33,14
EYRIE,13,MARQUISE,24,33
EYRIE,19,MARQUISE,25,31
MARQUISE,16,MARQUISE,31,10
EYRIE,17,MARQUISE,27,32
MARQUISE,14,MARQUISE,30,23
EYRIE,15,MARQUISE,24,30
MARQUISE,17,MARQUISE,31,28
MARQUISE,14,MARQUISE,32,23
MARQUISE,14,MARQUISE,32,24
MARQUISE,16,MARQUISE,30,24
EYRIE,15,MARQUISE,17,32
MARQUISE,16,MARQUISE,30,26
MARQUISE,18,MARQUISE,39,12
EYRIE,20,MARQUISE,20,30
EYRIE,13,EYRIE,26,30
MARQUISE,23,MARQUISE,30,8
EYRIE,13,EYRIE,23,30
MARQUISE,12,MARQUISE,30,27
MARQUISE,14,MARQUISE,31,29
MARQUISE,16,MARQUISE,30,27
MARQUISE,16,MARQUISE,34,22
EYRIE,11,MARQUISE,24,30
EYRIE,10,MARQUISE,16,30
EYRIE,13,MARQUISE,22,31
EYRIE,18,MARQUISE,29,30
EYRIE,13,MARQUISE,25,31
EYRIE,15,EYRIE,29,34
MARQUISE,14,MARQUISE,33,26
MARQUISE,19,MARQUISE,30,13
MARQUISE,18,MARQUISE,31,23
EYRIE,14,MARQUISE,22,30
MARQUISE,16,MARQUISE,31,20
EYRIE,15,EYRIE,23,34
MARQUISE,18,MARQUISE,31,16
MARQUISE,18,MARQUISE,30,22
EYRIE,15,MARQUISE,20,33
MARQUISE,17,MARQUISE,30,22
EYRIE,11,MARQUISE,16,30
EYRIE,17,MARQUISE,24,30
EYRIE,14,MARQUISE,21,30
EYRIE,13,MARQUISE,23,30
EYRIE,17,EYRIE,25,33
MARQUISE,14,MARQUISE,31,13
MARQUISE,15,MARQUISE,30,16
MARQUISE,14,MARQUISE,30,28
EYRIE,17,MARQUISE,27,33
MARQUISE,23,MARQUISE,30,29
MARQUISE,16,MARQUISE,30,27
EYRIE,15,MARQUISE,25,33
MARQUISE,20,EYRIE,33,7
EYRIE,13,EYRIE,25,30
EYRIE,13,MARQUISE,23,31
EYRIE,13,MARQUISE,21,33
MARQUISE,17,MARQUISE,30,26
MARQUISE,20,MARQUISE,30,29
EYRIE,15,MARQUISE,28,30
MARQUISE,14,MARQUISE,30,27
EYRIE,15,MARQUISE,28,33
MARQUISE,18,MARQUISE,33,23
MARQUISE,20,MARQUISE,32,27
EYRIE,15,MARQUISE,26,30
