winner,condition,turn,current_player,vp_marquise,vp_eyrie,winning_dominance
MARQUISE,vp,10,MARQUISE,30,0,none
MARQUISE,vp,12,MARQUISE,32,1,none
MARQUISE,vp,16,MARQUISE,31,1,none
MARQUISE,vp,20,MARQUISE,30,8,none
MARQUISE,vp,14,MARQUISE,32,1,none
MARQUISE,vp,14,EYRIE,36,3,none
MARQUISE,vp,14,MARQUISE,32,0,none
MARQUISE,vp,14,MARQUISE,31,0,none
MARQUISE,vp,12,MARQUISE,31,1,none
MARQUISE,vp,13,MARQUISE,31,4,none
MARQUISE,vp,14,MARQUISE,34,3,none
MARQUISE,vp,16,MARQUISE,33,4,none
MARQUISE,vp,14,MARQUISE,34,2,none
MARQUISE,vp,14,MARQUISE,30,0,none
MARQUISE,vp,12,MARQUISE,31,2,none
MARQUISE,vp,15,MARQUISE,30,1,none
MARQUISE,vp,14,MARQUISE,33,0,none
MARQUISE,vp,14,MARQUISE,31,0,none
MARQUISE,vp,12,MARQUISE,34,3,none
MARQUISE,vp,12,MARQUISE,33,2,none
MARQUISE,vp,14,MARQUISE,30,1,none
MARQUISE,vp,14,MARQUISE,30,4,none
MARQUISE,vp,13,MARQUISE,30,1,none
MARQUISE,vp,18,MARQUISE,33,3,none
MARQUISE,vp,13,MARQUISE,31,1,none
MARQUISE,vp,10,MARQUISE,32,0,none
MARQUISE,vp,12,MARQUISE,31,1,none
MARQUISE,vp,14,MARQUISE,33,1,none
MARQUISE,vp,12,MARQUISE,31,2,none
MARQUISE,vp,18,MARQUISE,31,10,none
MARQUISE,vp,14,MARQUISE,32,4,none
MARQUISE,vp,12,MARQUISE,32,1,none
MARQUISE,vp,16,MARQUISE,33,0,none
MARQUISE,vp,10,MARQUISE,30,0,none
MARQUISE,vp,16,EYRIE,35,1,none
MARQUISE,vp,14,MARQUISE,32,1,none
MARQUISE,vp,14,MARQUISE,31,3,none
MARQUISE,vp,16,MARQUISE,33,3,none
MARQUISE,vp,13,MARQUISE,30,6,none
MARQUISE,vp,14,MARQUISE,30,2,none
MARQUISE,vp,16,MARQUISE,30,2,none
MARQUISE,vp,16,MARQUISE,33,5,none
MARQUISE,vp,16,MARQUISE,33,11,none
MARQUISE,vp,14,MARQUISE,31,1,none
MARQUISE,vp,14,MARQUISE,30,4,none
MARQUISE,vp,18,MARQUISE,31,2,none
MARQUISE,vp,16,MARQUISE,31,2,none
MARQUISE,vp,12,MARQUISE,31,0,none
MARQUISE,vp,12,MARQUISE,30,0,none
MARQUISE,vp,14,MARQUISE,32,0,none
MARQUISE,vp,18,MARQUISE,33,1,none
MARQUISE,vp,11,MARQUISE,30,3,none
MARQUISE,vp,10,MARQUISE,33,2,none
MARQUISE,vp,12,MARQUISE,30,2,none
MARQUISE,vp,16,MARQUISE,31,2,none
MARQUISE,vp,12,MARQUISE,30,1,none
MARQUISE,vp,12,MARQUISE,30,4,none
MARQUISE,vp,12,MARQUISE,34,4,none
MARQUISE,vp,12,MARQUISE,30,0,none
MARQUISE,vp,14,MARQUISE,31,1,none
MARQUISE,vp,12,MARQUISE,30,1,none
MARQUISE,vp,16,MARQUISE,30,2,none
MARQUISE,vp,12,MARQUISE,33,5,none
MARQUISE,vp,12,MARQUISE,32,3,none
MARQUISE,vp,12,MARQUISE,30,2,none
MARQUISE,vp,16,MARQUISE,31,2,none
MARQUISE,vp,12,MARQUISE,32,0,none
MARQUISE,vp,16,MARQUISE,30,2,none
MARQUISE,vp,12,MARQUISE,31,6,none
MARQUISE,vp,14,MARQUISE,31,0,none
MARQUISE,vp,14,MARQUISE,36,0,none
MARQUISE,vp,12,MARQUISE,33,7,none
MARQUISE,vp,14,MARQUISE,33,0,none
MARQUISE,vp,12,MARQUISE,30,1,none
MARQUISE,vp,10,MARQUISE,32,0,none
MARQUISE,vp,12,MARQUISE,30,1,none
MARQUISE,vp,16,MARQUISE,34,1,none
MARQUISE,vp,12,MARQUISE,33,2,none
MARQUISE,vp,14,MARQUISE,33,8,none
MARQUISE,vp,14,MARQUISE,34,0,none
MARQUISE,vp,14,MARQUISE,30,3,none
MARQUISE,vp,16,MARQUISE,34,2,none
MARQUISE,vp,18,MARQUISE,34,3,none
MARQUISE,vp,14,MARQUISE,31,13,none
MARQUISE,vp,14,MARQUISE,31,1,none
MARQUISE,vp,16,MARQUISE,30,0,none
MARQUISE,vp,12,MARQUISE,31,0,none
MARQUISE,vp,14,MARQUISE,32,3,none
MARQUISE,vp,22,MARQUISE,32,4,none
MARQUISE,vp,17,MARQUISE,30,1,none
MARQUISE,vp,12,EYRIE,34,0,none
MARQUISE,vp,16,MARQUISE,31,4,none
MARQUISE,vp,14,EYRIE,34,2,none
MARQUISE,vp,12,MARQUISE,30,2,none
MARQUISE,vp,12,MARQUISE,31,2,none
MARQUISE,vp,14,MARQUISE,32,0,none
MARQUISE,vp,12,MARQUISE,30,0,none
MARQUISE,vp,14,MARQUISE,32,0,none
MARQUISE,vp,12,MARQUISE,33,0,none
MARQUISE,vp,16,MARQUISE,30,0,none
